,url,link_text,tokens,token_values
94906951,amsquery.stadt-zuerich.ch/archivplansuche.aspx?ID=549103,Last search result,stadtkanzlei__geschäftsverzeichnis__stadtrat__stadtpräsident__stadtschreiber__geschäftsbericht__verordnung__v.b.__verzeichni__beamter,0.33659280968201866__0.1546954557273701__0.1438658438387737__0.08109735215165398__0.06212548239186241__0.06088070490676631__0.059160389968888984__0.05335291124979693__0.05204010662773335__0.05129574166199667
94906950,amsquery.stadt-zuerich.ch/detail.aspx?id=549102,Last search result,v.b.b.43.__entry__bestand__geschäftsbericht__workbook__previous__wasserversorgung__search__v.b.__ref,0.23012559713454073__0.23012559713454073__0.15944504802029733__0.14005067507358995__0.13807535828072445__0.1327514795789636__0.1081253253563823__0.09434290329772141__0.0920502388538163__0.08574850532605208
94970555,amsquery.stadt-zuerich.ch/suchinfo.aspx,Search,search__the__field__use__full__terms__not__been__does__this,0.47290873045440096__0.23294836206273706__0.181483035373773__0.157722551558225__0.13662875181668044__0.12203785057790323__0.0936466027540206__0.0907415176868865__0.0907415176868865__0.07109396647032341
94866468,data.stadt-zuerich.ch,,kategorie__datensätze__datensätz__anwendung__werkzeug__vorlag__anleitung__kategorien__katalog__schlagwörter,0.2874701113201548__0.23131409500646305__0.18859319692598564__0.13033987714156112__0.10741750002919477__0.09798280872810301__0.09798280872810301__0.08021777342448967__0.0766824923581884__0.07608234027713387
94909239,data.stadt-zuerich.ch/api/3/action/package_list,Namen aller Datensätze,zwurmli__geo_einzelbauten_und_einzelanlagen__geo_gastwirtschaftsbetrieb__geo_gang_dur_zueri__geo_fundbuero__geo_friedhofkreise__geo_feuerwehrstellflaechen__geo_familienzentrum__geo_familiengaert__geo_erz_kehrichtcontainer_im_oeffentlichen_raum,0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397__0.009633997298529397
94909240,data.stadt-zuerich.ch/api/3/action/package_search?q=velo,Datensätze nach Velo,null__activ__fals__revision_id__description__vocabulary_id__resource_type__datastore_contains_all_records_of_source_file__mimetype_inner__mimetype,0.4851602337641692__0.1640641755759486__0.14894258415118222__0.12067610832687026__0.1085003444983236__0.10545569826762535__0.09893266538509184__0.09893266538509184__0.09893266538509184__0.09893266538509184
94909142,data.stadt-zuerich.ch/dataset,Datensätze,csv__fernwärme__aktualisiert__stundenwerte__passantenfrequenze__primärenergiefaktor__bruttolastgang__abonniert__wärmeabsatz__abwassermenge,0.1495958106593664__0.053219676526392416__0.04294748131476195__0.04171563722292358__0.040314573310769174__0.040314573310769174__0.03823625306235447__0.03823625306235447__0.03823625306235447__0.03823625306235447
94907370,data.stadt-zuerich.ch/dataset/fd_rpktool,Daten & Ressourcen,api__rechnungslegung__api-key__rpk-api__ressource__finanzdaten-api__dokumentation__1-__gemeindegesetz__kategorie,0.07912401049912612__0.0776673890329075__0.06141673277812491__0.06141673277812491__0.056538273227544594__0.05600453044737527__0.05389776402785195__0.04680981903368388__0.04680981903368388__0.045852979995727815
94910398,data.stadt-zuerich.ch/dataset/geo_3d_blockmodell_lod1,3D-Blockmodell LoD1 (inkl. 3D),3d__ch1903__epsg:2056__lv95__attribute__projektion__lod1_2_5d.__3d-körper__geodatenelement__web,0.08765825518738905__0.07588850655104161__0.07588850655104161__0.07513327138940988__0.07133457529408624__0.07133457529408624__0.05955561966363628__0.05955561966363628__0.05648537384211455__0.053798746438647675
94910401,data.stadt-zuerich.ch/dataset/geo_3d_dachmodell_lod2,3D-Dachmodell LoD2 (3D),typ__string__3d__ch1903__epsg:2056__lv95__projektion__web__datenformat__geometrie,0.15591194283741075__0.14305264331846973__0.05672004747419292__0.05611923173522405__0.05611923173522405__0.05556073850645436__0.052751618704870495__0.04641460477059799__0.03668836715030365__0.03603673686288737
94910404,data.stadt-zuerich.ch/dataset/geo_3d_dachmodell_lod2_jahresstand_2011,3D-Dachmodell LoD2 Jahresstand 2011 (3D),typ__string__epsg:2056__ch1903__lv95__projektion__web__datenformat__lod2__map,0.18932164487399877__0.18392482712374678__0.07215329794528806__0.07215329794528806__0.07143523522258419__0.06782350976340493__0.05967592041934028__0.047170757764676115__0.042062850142410804__0.03978394694622685
94910403,data.stadt-zuerich.ch/dataset/geo_3d_dachmodell_lod2_jahresstand_2013,3D-Dachmodell LoD2 Jahresstand 2013 (3D),typ__string__epsg:2056__ch1903__lv95__projektion__web__datenformat__lod2__map,0.1889247441509925__0.18353924048407438__0.07200203316972142__0.07200203316972142__0.07128547581960183__0.06768132211190932__0.05955081366793705__0.04707186728718204__0.041974668066640554__0.039700542445291365
94910402,data.stadt-zuerich.ch/dataset/geo_3d_dachmodell_lod2_jahresstand_2015,3D-Dachmodell LoD2 Jahresstand 2015 (3D),typ__string__ch1903__epsg:2056__lv95__projektion__web__datenformat__lod2__map,0.18696494390046353__0.1816353064541566__0.07125512411194423__0.07125512411194423__0.070545999929357__0.06697923370825881__0.05893306663818666__0.0465835699086843__0.04153924619872934__0.039288711092124444
94910405,data.stadt-zuerich.ch/dataset/geo_3d_stadtmodell_stadt_zuerich_jahresendstand_1800,3D-Stadtmodell Stadt Zürich Jahresendstand 1800,vermutung__hypothese__kartenmaterial__archäologisch__basierend__bauuntersuchung__historisch__wissenschaftlich__höhenlin__ergänzend,0.15936636772553844__0.14845619090037107__0.14127264818731633__0.11172815619547784__0.10550255299518702__0.10325954080907844__0.09763228192527028__0.09521964268565777__0.08898599316793264__0.08898157178594833
94910396,data.stadt-zuerich.ch/dataset/geo_3d_stadtmodell_stadt_zuerich_jahresendstand_3000_v_chr,3D-Stadtmodell Stadt Zürich Jahresendstand 3000 v Chr,vermutung__hypothese__kartenmaterial__archäologisch__basierend__bauuntersuchung__historisch__wissenschaftlich__höhenlin__ergänzend,0.1569698809928236__0.14622376697705725__0.13914824746269505__0.11004803354592178__0.10391604843886842__0.10170676575931788__0.10150657882706672__0.09378776835955767__0.08764785793232463__0.08764350303728746
94910400,data.stadt-zuerich.ch/dataset/geo_bauten___kombinierte_darstellung_heute,Bauten - Kombinierte Darstellung heute (3D),typ__3d-blockmodell__gebäude__epsg:2056__ch1903__lv95__3d-dachmodell__projektion__string__web,0.11428371266025797__0.06498217091321094__0.05766711139312704__0.0569568322088841__0.0569568322088841__0.05639000326028204__0.05600576877517282__0.053538956297480504__0.0518527704992321__0.047107360065681544
94910397,data.stadt-zuerich.ch/dataset/geo_bauten___kombinierte_darstellung_kurzfristige_zukunft,Bauten - Kombinierte Darstellung kurzfristige Zukunft (3D),typ__gebäude__ch1903__epsg:2056__3d-blockmodell__lv95__projektiert__projektion__string__3d-dachmodell,0.11169056520929588__0.060693897815830754__0.0556644567616809__0.0556644567616809__0.055569234891544445__0.0551104894099677__0.05232413395037397__0.05232413395037397__0.05067620844576492__0.04691569146297181
